Family,Size,Method,Task,Quantization,Model_Name,FP16_Baseline,FP16_Score,Quantized_Score,Q_ret_%,Score_Diff,Passes_99.9%
Qwen,1B,LoRA,rag,INT4,aclnlp/Qwen-1B_LoRA_FP16_rag-INT4,aclnlp/Qwen-1B_LoRA_FP16_rag-FP16,0.7666666666666666,0.745,97.17391304347827,0.021666666666666612,No
Qwen,1B,LoRA,rag,INT8,aclnlp/Qwen-1B_LoRA_FP16_rag-INT8,aclnlp/Qwen-1B_LoRA_FP16_rag-FP16,0.7666666666666666,0.77,100.43478260869567,-0.0033333333333334103,Yes
Qwen,1B,LoRA,summ,INT4,aclnlp/Qwen-1B_LoRA_FP16_summ-INT4,aclnlp/Qwen-1B_LoRA_FP16_summ-FP16,0.7949999999999999,0.7816666666666667,98.32285115303985,0.013333333333333197,No
Qwen,1B,LoRA,summ,INT8,aclnlp/Qwen-1B_LoRA_FP16_summ-INT8,aclnlp/Qwen-1B_LoRA_FP16_summ-FP16,0.7949999999999999,0.7933333333333334,99.79035639413,0.0016666666666664831,No
Qwen,1B,LoRA,chat,INT8,aclnlp/Qwen-1B_LoRA_FP16_chat-INT8,aclnlp/Qwen-1B_LoRA_FP16_chat-FP16,7.086666666666667,7.373333333333334,104.04515522107245,-0.28666666666666707,Yes
Qwen,1B,LoRA,chat,INT4,aclnlp/Qwen-1B_LoRA_FP16_chat-INT4,aclnlp/Qwen-1B_LoRA_FP16_chat-FP16,7.086666666666667,7.323333333333333,103.33960489181561,-0.23666666666666636,Yes
Qwen,3B,LoRA,rag,INT8,aclnlp/Qwen-3B_LoRA_FP16_rag-INT8,aclnlp/Qwen-3B_LoRA_FP16_rag-FP16,0.77,0.7783333333333333,101.08225108225109,-0.008333333333333304,Yes
Qwen,3B,LoRA,rag,INT4,aclnlp/Qwen-3B_LoRA_FP16_rag-INT4,aclnlp/Qwen-3B_LoRA_FP16_rag-FP16,0.77,0.775,100.64935064935065,-0.0050000000000000044,Yes
Qwen,3B,LoRA,summ,INT8,aclnlp/Qwen-3B_LoRA_FP16_summ-INT8,aclnlp/Qwen-3B_LoRA_FP16_summ-FP16,0.8649999999999999,0.8516666666666666,98.45857418111754,0.013333333333333308,No
Qwen,3B,LoRA,summ,INT4,aclnlp/Qwen-3B_LoRA_FP16_summ-INT4,aclnlp/Qwen-3B_LoRA_FP16_summ-FP16,0.8649999999999999,0.8633333333333333,99.8073217726397,0.0016666666666665941,No
Qwen,3B,LoRA,chat,INT8,aclnlp/Qwen-3B_LoRA_FP16_chat-INT8,aclnlp/Qwen-3B_LoRA_FP16_chat-FP16,7.486666666666667,7.403333333333333,98.88691006233303,0.08333333333333393,No
Qwen,3B,LoRA,chat,INT4,aclnlp/Qwen-3B_LoRA_FP16_chat-INT4,aclnlp/Qwen-3B_LoRA_FP16_chat-FP16,7.486666666666667,6.841666666666666,91.38468388245768,0.6450000000000014,No
Qwen,7B,LoRA,rag,INT8,aclnlp/Qwen-7B_LoRA_FP16_rag-INT8,aclnlp/Qwen-7B_LoRA_FP16_rag-FP16,0.7816666666666667,0.775,99.14712153518123,0.00666666666666671,No
Qwen,7B,LoRA,rag,INT4,aclnlp/Qwen-7B_LoRA_FP16_rag-INT4,aclnlp/Qwen-7B_LoRA_FP16_rag-FP16,0.7816666666666667,0.7666666666666667,98.08102345415777,0.015000000000000013,No
Qwen,7B,LoRA,summ,INT8,aclnlp/Qwen-7B_LoRA_FP16_summ-INT8,aclnlp/Qwen-7B_LoRA_FP16_summ-FP16,0.8916666666666667,0.8883333333333333,99.62616822429906,0.0033333333333334103,No
